client_id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,4524.0,Visa,Debit,4344676511950444.0,12/2022,623.0,YES,2.0,$24295,09/2002,2008.0,No
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,2731.0,Visa,Debit,4956965974959986.0,12/2020,393.0,YES,2.0,$21968,04/2014,2014.0,No
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,3701.0,Visa,Debit,4582313478255491.0,02/2024,719.0,YES,2.0,$46414,07/2003,2004.0,No
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,42.0,Visa,Credit,4879494103069057.0,08/2024,693.0,NO,1.0,$12400,01/2003,2012.0,No
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,4659.0,Mastercard,Debit (Prepaid),5722874738736011.0,03/2009,75.0,YES,1.0,$28000,09/2008,2009.0,No
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5,2936.0,Visa,Debit,4319533334231298.0,06/2022,901.0,YES,2.0,$21123,02/2004,2013.0,No
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5,396.0,Visa,Credit,4331121111180295.0,06/2021,80.0,YES,1.0,$12500,06/2009,2009.0,No
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5,132.0,Visa,Debit,4351221113904378.0,05/2026,35.0,YES,2.0,$17349,02/2013,2013.0,No
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5,2060.0,Mastercard,Credit,586022238736011.0,04/2020,356.0,YES,1.0,$22400,02/2013,2013.0,No
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5,4300.0,Discover,Credit,6209823483921567.0,10/2020,958.0,YES,2.0,$12000,10/2018,2018.0,No
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698,5,,,,,,,,,,,,
708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722,4,,,,,,,,,,,,
1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,$53797,$109687,$183855,675,1,,,,,,,,,,,,
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,$20599,$41997,$0,704,3,,,,,,,,,,,,
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,$25258,$51500,$102286,672,3,,,,,,,,,,,,
1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,$26790,$54623,$114711,728,1,,,,,,,,,,,,
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755,5,,,,,,,,,,,,
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,$18730,$38190,$81262,810,1,,,,,,,,,,,,
